battery_power,bluetoth,dual_sim,front_cam,4G,int_memory,mob_weight,n_cores,main_cam,px_height,px_width,ram,talk_time,3G,touch_screen,wifi,price_range
534,0,1,0,1,16,189,5,1,393,1199,3926,20,1,0,0,3
946,0,1,8,1,25,143,6,15,650,1740,2177,13,1,1,1,2
685,0,0,2,0,29,93,7,10,433,648,728,4,0,0,1,0
1949,0,1,0,0,23,101,5,1,839,1136,2478,20,1,0,0,3
947,0,1,0,1,22,197,2,13,1176,1220,2842,2,1,0,0,2
801,1,1,2,0,63,165,7,4,650,879,1617,19,0,0,1,1
703,1,0,12,1,30,113,1,20,218,1065,1472,7,1,0,0,0
1165,1,0,11,0,41,178,6,12,564,831,764,15,1,0,0,0
1082,0,0,0,0,38,198,8,5,986,1191,2337,17,0,1,1,2
959,1,1,15,0,20,84,4,19,561,1631,3965,6,1,0,0,3
1502,1,0,0,0,54,138,5,12,65,588,3693,16,1,1,0,3
1380,1,1,1,1,4,92,3,13,420,500,797,15,1,1,0,0
1266,0,0,0,1,5,95,6,9,1365,1698,1687,18,1,0,0,2
1934,1,1,0,1,46,103,1,17,619,1299,2940,2,1,1,1,3
1905,1,0,3,1,6,151,1,5,849,898,1545,10,1,1,0,1
1831,0,1,2,0,43,150,5,5,611,1381,3834,13,1,1,1,3
596,0,0,8,0,46,165,1,18,953,984,2505,15,1,1,0,1
1562,1,1,1,1,7,190,5,15,642,1533,2243,6,1,0,0,2
1490,1,1,4,1,64,150,8,8,1417,1464,3600,7,1,1,1,3
1523,1,0,5,1,57,117,2,6,247,539,3971,10,1,1,1,3
640,0,0,0,0,20,163,4,15,710,1179,2844,18,1,1,0,2
1526,0,0,1,1,23,117,7,8,718,751,2227,3,1,1,0,2
1989,0,1,0,1,41,94,3,13,1100,1497,1665,12,1,1,1,2
1308,0,0,0,1,61,106,3,7,59,1215,3355,4,1,0,1,3
609,0,0,3,0,26,93,4,4,938,1948,1866,14,1,1,1,1
1905,0,1,9,1,36,119,3,20,825,1542,1287,16,1,0,0,1
1703,1,0,0,1,22,192,1,0,286,1235,1046,13,1,0,1,0
1445,1,1,7,1,20,173,7,15,1273,1345,1441,13,1,1,1,1
1087,0,0,0,1,16,166,3,9,295,589,690,6,1,0,1,0
671,0,1,10,0,30,105,7,17,852,1182,2504,15,1,0,0,2
1472,1,0,6,0,61,168,6,19,710,1052,2677,8,1,0,0,2
765,0,1,0,1,47,115,8,1,1277,1429,2243,4,1,0,1,2
1642,0,1,16,1,8,171,6,17,129,873,2984,17,1,0,1,2
1265,0,0,7,0,49,182,5,16,690,836,1362,12,0,0,1,1
664,1,1,1,1,51,110,7,4,701,1478,3629,6,1,1,1,3
1277,1,1,0,1,35,142,6,6,309,1460,3559,6,1,1,0,3
1395,0,1,0,0,23,111,3,1,213,705,2571,13,1,0,1,2
1539,1,0,0,0,41,159,8,0,1112,1666,2107,10,1,0,1,2
1049,1,0,9,0,63,135,5,17,199,1077,1022,13,0,0,0,0
1827,0,0,4,1,39,128,5,16,55,1020,2844,10,1,1,0,2
903,0,1,0,1,50,91,1,0,1230,1235,711,10,1,1,0,0
1987,1,0,3,1,53,181,3,7,1052,1516,3117,8,1,1,1,3
1154,0,1,0,1,49,181,8,2,541,1499,978,7,1,0,1,0
1336,0,0,5,1,17,194,5,9,55,583,1869,16,1,1,1,1
1886,0,0,0,1,24,112,3,1,809,1958,1179,20,1,0,1,1
1551,0,0,4,0,51,88,5,6,1738,1995,3844,4,0,1,0,3
850,1,1,6,1,29,133,5,19,404,642,593,10,1,0,1,0
660,0,0,5,1,40,111,2,10,262,1178,588,18,1,1,1,0
1225,1,1,8,0,13,116,4,12,759,1404,3836,11,0,0,0,3
1452,1,1,1,1,25,123,6,11,42,1040,2669,13,1,0,0,2
1686,1,1,3,0,38,166,4,4,397,1453,2958,2,0,0,0,3
1634,1,0,1,1,17,200,2,5,964,1677,3031,6,1,1,1,3
1708,1,1,18,1,49,109,1,19,233,517,3388,16,1,1,1,3
1151,1,1,0,0,31,128,8,1,1022,1560,2377,13,0,1,0,2
1578,0,1,2,1,37,138,4,19,411,1226,2458,3,1,0,1,2
1689,0,0,17,0,24,127,3,18,954,1200,2766,7,0,1,1,3
1488,0,0,1,0,39,112,5,6,1528,1647,3054,19,0,0,0,3
1313,1,1,4,0,9,105,1,6,416,1308,3791,6,0,1,1,3
1715,0,1,4,1,31,83,8,17,638,1615,625,13,1,0,0,0
1442,0,1,0,0,27,192,3,19,231,687,2227,20,1,1,0,1
528,0,0,12,1,6,142,2,15,574,637,3256,6,1,1,0,2
1523,1,0,6,1,11,129,1,8,148,1606,707,19,1,1,0,0
1133,0,0,3,0,42,199,5,12,730,1543,1457,20,1,0,1,1
1718,1,1,14,1,6,183,5,16,564,980,3755,8,1,1,1,3
1330,0,0,0,0,38,183,7,1,1290,1441,1733,11,1,0,1,1
1799,1,0,0,0,49,107,4,2,632,1383,720,11,1,1,1,0
633,1,0,0,1,49,139,8,1,529,1009,3560,16,1,1,1,2
724,0,1,0,0,44,187,7,0,1273,1754,2311,7,1,0,0,2
822,1,0,0,1,51,157,6,20,667,860,3846,3,1,0,0,3
1918,0,0,2,0,10,110,5,10,1170,1543,1717,16,1,1,1,2
1891,0,0,7,1,37,129,7,14,169,1108,3704,11,1,0,0,3
1373,1,1,2,0,50,127,7,12,105,673,3800,14,1,0,0,3
862,1,1,3,0,23,165,2,15,793,1758,278,11,0,0,1,0
1273,0,0,3,1,48,99,4,15,490,886,1767,11,1,1,0,1
957,1,0,4,0,7,107,5,10,1201,1485,1846,7,1,0,1,1
1617,1,1,3,1,30,105,2,4,246,1038,829,10,1,0,0,0
893,0,1,0,0,55,183,2,1,417,946,2986,6,0,1,1,2
1210,0,0,0,0,63,93,5,0,1177,1462,2394,7,0,0,0,2
708,1,1,0,1,63,195,8,7,78,654,2169,7,1,1,1,1
835,0,1,2,0,7,101,4,7,323,1604,1181,15,1,1,1,0
1450,1,1,9,0,19,131,1,17,707,1882,575,12,0,0,0,0
973,1,0,5,1,57,190,7,16,457,1816,2977,2,1,0,0,2
601,1,0,4,1,4,154,4,13,356,765,532,10,1,1,1,0
507,1,1,1,0,32,141,7,11,936,1398,1702,5,1,1,1,1
564,0,1,0,1,51,168,3,1,912,1980,1074,15,1,1,0,0
1559,1,1,6,1,6,162,6,17,179,1559,3352,3,1,1,1,3
754,0,1,7,1,59,178,7,10,1914,1928,1027,5,1,0,0,1
728,0,1,0,0,25,88,4,1,526,1529,2039,12,1,1,1,1
1431,1,0,0,1,56,191,1,1,156,952,461,8,1,0,0,0
767,0,0,4,0,28,175,4,10,344,1517,527,15,0,1,0,0
1722,0,0,8,0,18,177,2,16,865,1741,3271,15,1,0,1,3
1992,1,0,5,1,57,100,2,15,1552,1596,606,4,1,1,1,1
1876,0,0,10,1,40,86,6,14,546,1564,2513,16,1,1,0,3
1054,0,1,10,1,38,136,6,12,1097,1222,1675,14,1,1,1,1
1283,1,1,4,0,47,93,5,5,372,692,2698,17,1,1,0,2
1281,1,1,0,0,28,148,1,6,1285,1617,1129,6,0,1,0,1
1066,0,0,2,1,7,114,7,18,1242,1571,468,6,1,1,0,0
730,0,1,0,1,4,89,8,2,302,1247,1210,4,1,1,1,0
1053,1,1,7,1,45,103,1,12,594,1767,3086,5,1,1,1,3
1611,1,1,11,0,3,98,3,14,303,714,1595,9,1,0,1,1
793,0,1,5,1,30,133,2,15,1858,1935,2332,14,1,1,1,2
1220,0,0,3,0,62,125,4,8,403,1933,2589,15,1,1,1,2
1662,0,0,0,1,61,126,4,13,32,1509,3760,13,1,1,1,3
1281,1,1,3,1,8,144,4,19,590,954,1851,9,1,1,0,1
538,0,0,12,1,2,177,7,13,235,662,417,9,1,0,1,0
823,1,0,0,0,39,187,8,4,630,888,294,11,0,0,1,0
1733,1,0,3,1,36,119,6,20,357,527,3576,9,1,0,0,3
1429,0,1,0,1,40,100,3,14,246,820,3945,18,1,0,1,3
1839,1,0,9,1,54,200,7,11,475,1493,927,18,1,0,1,1
659,0,0,6,1,6,110,3,7,1054,1929,2044,2,1,0,1,1
1953,1,1,7,0,56,158,8,9,555,764,2334,4,1,0,0,2
1172,0,0,0,1,27,164,1,3,607,1092,1477,6,1,0,0,1
612,1,1,6,0,16,102,7,7,1360,1891,3161,3,0,0,0,3
1563,0,0,0,1,24,170,8,0,142,1699,3660,5,1,1,0,3
1191,0,1,16,1,26,84,1,20,681,683,1604,9,1,0,1,1
615,1,1,0,0,42,163,6,4,104,1664,2211,18,0,0,1,1
1893,1,1,8,0,63,134,2,11,637,763,3822,18,0,1,1,3
1563,0,1,10,0,16,151,7,13,410,572,3922,8,0,0,1,3
1995,1,0,6,0,9,139,6,18,1830,1963,1203,18,1,1,1,2
1517,0,0,6,1,48,143,5,14,802,1489,2822,11,1,1,1,3
832,0,1,1,1,34,108,5,5,311,1294,447,12,1,1,0,0
1162,0,0,0,1,56,114,7,1,56,997,1652,20,1,0,0,1
1595,1,0,7,0,12,121,8,19,344,655,3608,16,0,1,0,3
1329,1,0,1,0,52,181,6,2,1053,1458,1228,6,1,0,1,1
928,1,1,11,0,56,80,8,13,221,1243,666,5,0,1,0,0
1656,1,1,8,1,38,105,7,17,506,519,1499,19,1,0,1,1
1937,1,0,17,0,58,189,1,19,1728,1767,3321,14,1,1,0,3
977,1,1,2,0,57,181,6,7,63,566,1206,8,0,1,1,0
768,1,0,16,1,56,113,1,20,418,515,952,16,1,0,1,0
1464,1,1,11,0,12,117,2,14,854,1168,3927,15,0,1,1,3
1177,0,0,1,1,29,191,2,8,178,882,311,19,1,0,0,0
1348,0,0,18,0,52,98,3,20,1869,1942,955,7,1,1,1,1
1956,0,0,0,1,37,87,3,2,185,776,1109,19,1,1,0,1
1751,0,1,6,0,8,178,6,20,170,564,2969,17,0,0,1,2
1530,0,0,11,0,42,177,6,13,454,1975,725,19,0,0,1,0
1997,1,1,1,0,40,185,4,8,866,1212,1655,15,1,0,0,2
1414,1,1,5,0,44,180,2,6,44,1118,3490,13,0,1,0,3
1707,0,0,0,0,41,80,7,2,1331,1388,1774,10,0,0,0,2
894,0,1,1,1,50,199,3,14,1285,1462,3615,6,1,0,1,3
645,0,0,6,1,41,184,8,17,741,1130,714,13,1,1,0,0
1163,0,1,0,0,49,155,2,0,520,754,2768,12,0,0,1,2
1126,0,0,3,0,49,165,8,17,114,1726,3739,13,1,0,0,3
1648,0,0,6,1,64,170,4,9,1153,1876,610,6,1,1,0,1
1170,1,0,6,1,14,199,2,13,474,709,715,20,1,0,1,0
508,0,0,7,1,42,94,1,8,39,557,663,7,1,0,0,0
1097,0,1,6,0,64,161,3,8,419,1914,1725,9,1,0,1,1
728,0,1,0,1,5,101,2,20,584,775,834,5,1,1,0,0
1980,0,1,2,1,29,177,1,13,312,1910,3865,18,1,0,0,3
1504,0,1,1,0,64,182,1,2,19,1923,3059,10,0,1,0,3
1379,1,1,14,1,63,83,1,17,207,1370,651,7,1,1,0,0
1698,0,0,5,1,18,160,6,20,363,994,796,14,1,0,1,0
920,0,1,5,0,25,115,7,14,209,1078,785,5,0,1,1,0
1144,1,1,0,0,21,189,1,11,159,724,3252,8,0,0,0,2
1995,1,0,6,0,26,129,1,15,649,1104,1322,7,0,1,1,1
1430,0,1,1,0,27,183,1,16,1132,1182,2832,15,0,1,1,2
972,1,1,5,0,13,193,5,8,1392,1795,1615,13,0,1,0,1
662,0,0,5,0,20,138,1,10,1001,1224,2125,15,0,1,1,1
1867,0,0,0,1,9,191,6,3,712,1442,990,2,1,0,1,1
1730,0,1,0,1,20,143,4,10,418,1023,1595,12,1,1,0,1
1723,1,0,1,1,7,126,3,17,384,1361,1213,16,1,1,1,1
1882,1,1,8,0,47,140,2,13,119,652,2500,11,0,0,1,2
803,0,1,0,0,18,106,4,1,627,935,2801,12,0,1,0,2
580,1,1,0,0,47,91,3,1,1086,1345,3451,11,1,1,0,3
668,0,0,2,1,48,114,1,19,195,1292,1201,4,1,1,0,0
1391,0,0,2,1,36,182,1,6,14,1256,3139,14,1,1,0,2
1560,0,0,0,1,22,169,7,1,745,1364,1938,16,1,1,1,2
821,0,1,5,0,54,109,3,9,253,1786,3185,15,1,0,0,2
811,1,1,5,1,2,106,6,13,333,1429,2111,2,1,0,1,1
1989,1,1,8,0,17,193,8,15,629,682,2369,18,1,1,0,2
1034,1,1,6,0,37,120,7,20,707,1199,3625,12,0,1,1,3
618,0,0,2,0,6,86,1,4,1314,1688,1051,15,0,0,1,0
654,1,0,0,1,52,196,4,4,1715,1898,1036,13,1,0,0,1
576,1,0,2,1,10,184,5,7,513,1438,2938,5,1,1,1,2
667,1,0,6,1,3,185,6,13,13,1463,2855,19,1,0,1,2
869,1,0,7,1,57,118,1,15,1243,1584,2727,8,1,0,0,2
635,1,1,2,0,42,149,3,4,300,1059,2973,18,0,0,1,2
609,1,0,15,1,44,117,1,16,58,1253,2581,15,1,0,1,1
1557,0,1,16,0,2,123,5,20,1107,1442,2690,9,0,0,1,3
1604,1,0,2,0,33,191,8,5,134,939,916,12,0,1,1,0
1182,0,0,7,1,8,138,8,16,275,986,2563,19,1,0,0,2
848,1,1,10,1,19,148,7,18,176,1029,3359,14,1,0,0,2
1610,1,0,7,1,64,181,4,12,1236,1280,941,9,1,1,0,1
1828,1,1,0,0,17,199,1,1,336,898,2280,4,0,0,0,2
880,0,1,1,1,50,194,7,3,1116,1381,827,6,1,0,1,0
1394,1,1,10,1,62,175,5,13,1010,1565,473,20,1,1,0,0
1960,1,1,1,1,61,86,7,3,205,1299,3865,11,1,0,0,3
809,0,0,10,0,21,91,7,19,1453,1726,1274,3,0,0,0,1
899,0,1,13,1,57,172,2,18,788,1331,364,7,1,1,0,0
1976,1,1,4,0,32,171,2,7,1301,1922,3699,13,0,1,1,3
879,0,1,0,1,21,187,4,2,463,1038,2927,11,1,0,1,2
916,1,0,0,0,36,195,4,12,188,992,1470,14,0,1,0,0
763,0,1,8,1,2,92,8,14,1028,1186,1050,8,1,1,0,0
508,0,1,0,0,9,162,6,2,1419,1920,2616,10,1,1,1,2
825,0,1,0,0,34,99,8,17,1471,1866,2915,10,1,1,0,3
1864,0,0,8,1,46,178,1,12,168,981,2686,18,1,1,1,2
1725,0,1,8,1,52,185,6,12,1125,1195,1243,5,1,1,1,1
1108,1,0,10,0,52,183,2,12,130,1706,3264,13,0,1,1,3
1011,0,0,4,1,36,131,7,18,481,749,2261,16,1,1,1,1
1703,1,1,17,1,55,138,5,19,1411,1711,2993,20,1,1,1,3
1067,1,1,0,0,58,135,7,0,79,681,706,16,0,1,0,0
1334,1,0,5,1,42,115,5,14,1187,1974,2542,8,1,0,0,3
775,1,0,0,0,30,189,7,10,561,1510,2523,9,1,0,1,2
1899,1,0,0,0,26,151,2,0,96,814,336,4,1,0,1,0
930,1,1,1,1,14,97,6,10,77,1025,2457,17,1,1,0,1
1058,0,0,2,0,19,166,4,14,493,1247,418,16,0,0,1,0
1187,1,0,0,1,46,145,2,9,1173,1814,3917,8,1,0,1,3
